,Flight Name,Departure time,Arrival time,Source,Destination,No of Stop,Duration,Date of Journey,Price
8161,IndiGo,07:15,18:45,Kolkata,Pune,1 Stop,11h 30m,10 Feb 22,4606
8209,Go First,16:25,00:40+1D,Kolkata,Pune,1 Stop,8h 15m,10 Feb 22,7956
4430,Air India,08:30,06:25+1D,Chennai,Goa In,2 Stops,21h 55m,10 Feb 22,7288
9982,Vistara,15:45,22:55,Mumbai,Hyderabad,1 Stop,7h 10m,10 Feb 22,9877
6332,Air India,08:25,08:55+1D,Hyderabad,Chennai,2 Stops,24h 30m,10 Feb 22,6338
219,Go First,07:10,16:30,Ahmedabad,Goa In,1 Stop,9h 20m,10 Feb 22,3951
3720,Vistara,20:40,19:55+1D,Delhi,Kolkata,1 Stop,23h 15m,10 Feb 22,12988
6188,Air India,11:20,16:15+1D,Hyderabad,Bengaluru,1 Stop,28h 55m,10 Feb 22,5055
4592,Vistara,12:30,12:05+1D,Chennai,Guwahati,2 Stops,23h 35m,10 Feb 22,15848
400,Air India,19:20,20:30+1D,Ahmedabad,Goa In,1 Stop,25h 10m,10 Feb 22,7423
4895,IndiGo,09:55,19:15,Chennai,Mumbai,1 Stop,9h 20m,10 Feb 22,3885
2444,SpiceJet,05:55,15:45,Bengaluru,Srinagar,1 Stop,9h 50m,10 Feb 22,5317
1694,IndiGo,06:20,16:40,Bengaluru,Jaipur,1 Stop,10h 20m,10 Feb 22,4814
174,GO FIRST,19:55,22:00,Delhi,Pune,Non-Stop,02h 05m,15 Jan,4930
193,SpiceJet,21:55,00:25,Kolkata,Delhi,Non-Stop,02h 30m,14 Jan,3434
6052,Vistara,06:50,20:05,Hyderabad,Ahmedabad,1 Stop,13h 15m,10 Feb 22,9353
656,Air India,21:00,17:50+1D,Ahmedabad,Mumbai,2 Stops,20h 50m,10 Feb 22,5827
167,Vistara,20:40,22:55,Delhi,Pune,Non-Stop,02h 15m,02 Jan,2442
2540,Vistara,19:00,11:55+1D,Bengaluru,Srinagar,2 Stops,16h 55m,10 Feb 22,14627
1964,Vistara,19:40,19:35+1D,Bengaluru,Kolkata,1 Stop,23h 55m,10 Feb 22,11203
2677,Vistara,13:00,22:40,Bhubaneswar,Bengaluru,1 Stop,9h 40m,10 Feb 22,11457
3973,Air India,17:15,14:10+1D,Delhi,Patna,2 Stops,20h 55m,10 Feb 22,5603
8562,Vistara,10:05,14:05+1D,Lucknow,Goa In,2 Stops,28h 00m,10 Feb 22,13687
375,Air India,21:00,22:25+1D,Ahmedabad,Goa In,2 Stops,25h 25m,10 Feb 22,5708
9361,Air India,05:45,14:15+1D,Mumbai,Bhubaneswar,3 Stops,32h 30m,10 Feb 22,4975
8776,Air India,20:15,09:40+1D,Lucknow,Mumbai,2 Stops,37h 25m,10 Feb 22,6297
9217,Air India,19:00,22:15+1D,Mumbai,Bengaluru,2 Stops,27h 15m,10 Feb 22,5378
1702,Air India,06:45,07:10+1D,Bengaluru,Jaipur,2 Stops,24h 25m,10 Feb 22,5541
3689,IndiGo,14:40,22:25,Delhi,Kolkata,1 Stop,7h 45m,10 Feb 22,9859
7048,Air India,19:35,13:35+1D,Jaipur,Mumbai,2 Stops,42h 00m,10 Feb 22,6339
784,Air India,21:00,12:10+1D,Ahmedabad,Patna,1 Stop,15h 10m,10 Feb 22,3909
6604,IndiGo,04:50,13:20,Jaipur,Bengaluru,1 Stop,8h 30m,10 Feb 22,5745
3956,Go First,08:00,09:40,Delhi,Patna,Non Stop,1h 40m,10 Feb 22,2188
494,Go First,12:15,14:20,Pune,New Delhi,Non Stop,2h 05m,"Thu, 3 Mar","2,564"
2692,Vistara,20:30,19:30+1D,Bhubaneswar,Bengaluru,2 Stops,23h 00m,10 Feb 22,14092
2900,Air India,21:25,22:15+1D,Delhi,Bengaluru,1 Stop,24h 50m,10 Feb 22,3304
1859,Air India,17:50,19:10+1D,Bengaluru,Kolkata,1 Stop,25h 20m,10 Feb 22,5324
3888,Vistara,11:10,23:10,Delhi,Mumbai,1 Stop,12h 00m,10 Feb 22,11413
1842,Go First,18:45,04:00+1D,Bengaluru,Kolkata,1 Stop,9h 15m,10 Feb 22,5175
7453,Air India,13:00,20:05+1D,Kolkata,Bengaluru,3 Stops,31h 05m,10 Feb 22,8246
9343,IndiGo,21:40,07:40+1D,Mumbai,Bhubaneswar,1 Stop,10h 00m,10 Feb 22,3584
430,SpiceJet,18:25,19:45,Kolkata,Guwahati,Non Stop,1h 20m,"Fri, 11 Feb","2,292"
1931,Vistara,06:40,16:55,Bengaluru,Kolkata,1 Stop,10h 15m,10 Feb 22,10489
8162,IndiGo,09:15,18:45,Kolkata,Pune,1 Stop,9h 30m,10 Feb 22,4606
161,IndiGo,09:15,11:00,Mumbai,Coimbatore,Non Stop,1h 45m,"Fri, 25 Feb","5,103"
5420,Air India,07:05,12:05+1D,Goa In,Pune,2 Stops,29h 00m,10 Feb 22,6419
4683,Air India,13:20,21:35+1D,Chennai,Hyderabad,2 Stops,32h 15m,10 Feb 22,6427
8030,Air India,10:25,10:10+1D,Kolkata,Mumbai,3 Stops,23h 45m,10 Feb 22,9160
5953,Air India,08:25,19:55,Hyderabad,Ahmedabad,1 Stop,11h 30m,10 Feb 22,4031
9356,Air India,18:00,20:55+1D,Mumbai,Bhubaneswar,1 Stop,26h 55m,10 Feb 22,4531
6800,IndiGo,12:00,20:25,Jaipur,Hyderabad,1 Stop,8h 25m,10 Feb 22,4746
209,Vistara,20:40,20:15+1D,Ahmedabad,Chennai,1 Stop,23h 35m,10 Feb 22,10550
6146,Air India,09:35,10:45,Hyderabad,Bengaluru,Non Stop,1h 10m,10 Feb 22,2078
5888,Air India,15:45,13:35+1D,Guwahati,Mumbai,2 Stops,45h 50m,10 Feb 22,7525
6551,Air India,19:35,18:15+1D,Jaipur,Ahmedabad,4 Stops,22h 40m,10 Feb 22,7271
7106,Air India,19:35,06:35+1D,Jaipur,Pune,1 Stop,11h 00m,10 Feb 22,3806
1172,Air India,13:20,08:55+1D,Bengaluru,Chennai,1 Stop,19h 35m,10 Feb 22,5185
9086,Air India,08:05,07:50+1D,Mumbai,Ahmedabad,3 Stops,23h 45m,10 Feb 22,10582
9953,Air India,10:00,20:50+1D,Mumbai,Hyderabad,2 Stops,34h 50m,10 Feb 22,6989
632,Go First,06:35,14:40,Ahmedabad,Mumbai,1 Stop,8h 05m,10 Feb 22,4218
6526,Air India,19:35,19:55+1D,Jaipur,Ahmedabad,2 Stops,24h 20m,10 Feb 22,5547
7729,Vistara,10:15,12:45+1D,Kolkata,Goa In,2 Stops,26h 30m,10 Feb 22,17280
2619,Air India,14:05,20:05,Bhubaneswar,Bengaluru,1 Stop,6h 00m,10 Feb 22,5555
6593,Air India,13:30,20:05,Jaipur,Bengaluru,1 Stop,6h 35m,10 Feb 22,4991
6676,IndiGo,11:05,17:10,Jaipur,Bengaluru,1 Stop,6h 05m,10 Feb 22,7734
9159,IndiGo,10:30,17:35,Mumbai,Bengaluru,1 Stop,7h 05m,10 Feb 22,4233
7403,Go First,14:30,17:10,Kolkata,Bengaluru,Non Stop,2h 40m,10 Feb 22,4143
8502,Air India,11:05,22:25,Lucknow,Goa In,1 Stop,11h 20m,10 Feb 22,5740
8501,Air India,20:15,13:15+1D,Lucknow,Goa In,1 Stop,17h 00m,10 Feb 22,5562
3171,Vistara,19:55,22:45,Delhi,Chennai,Non Stop,2h 50m,10 Feb 22,7528
6415,Air India,22:15,20:30+1D,Hyderabad,Goa In,2 Stops,22h 15m,10 Feb 22,5890
285,Air Asia,07:35,08:45,Bangalore,Hyderabad,Non Stop,1h 10m,"Sat, 19 Mar","1,714"
776,IndiGo,07:20,15:00,Ahmedabad,Patna,1 Stop,7h 40m,10 Feb 22,3668
4190,Vistara,09:45,22:35,Chennai,Ahmedabad,2 Stops,12h 50m,10 Feb 22,16171
9683,Air India,08:00,17:00+1D,Mumbai,Goa In,3 Stops,33h 00m,10 Feb 22,7688
7944,IndiGo,23:20,10:05+1D,Kolkata,Mumbai,1 Stop,10h 45m,10 Feb 22,4807
9645,Air India,19:00,20:30+1D,Mumbai,Goa In,2 Stops,25h 30m,10 Feb 22,7080
6405,Air India,20:50,14:45+1D,Hyderabad,Goa In,2 Stops,17h 55m,10 Feb 22,5873
94,SpiceJet,15:30,17:05,Mumbai,Goa,Non-Stop,01h 35m,30 Jan,2019
7240,Air India,18:00,10:10+1D,Kochi,Mumbai,1 Stop,16h 10m,10 Feb 22,5732
5569,SpiceJet,20:35,09:40+1D,Guwahati,Bengaluru,1 Stop,13h 05m,10 Feb 22,8664
6346,Vistara,12:55,23:05,Hyderabad,Chennai,1 Stop,10h 10m,10 Feb 22,8639
9618,Go First,12:00,20:10,Mumbai,Goa In,1 Stop,8h 10m,10 Feb 22,4260
9629,Air India,10:00,00:35+1D,Mumbai,Goa In,1 Stop,14h 35m,10 Feb 22,6085
9728,Vistara,06:00,14:05,Mumbai,Goa In,2 Stops,8h 05m,10 Feb 22,15064
69,Indigo,12:55,18:30,Delhi,Bangalore,1-Stop,05h 35m,29 Jan,3595
3212,Vistara,19:00,11:50+1D,Delhi,Chennai,1 Stop,16h 50m,10 Feb 22,11518
8014,Air India,09:55,22:10,Kolkata,Mumbai,2 Stops,12h 15m,10 Feb 22,8438
1240,AirAsia I.,07:35,17:25,Bengaluru,Goa In,1 Stop,9h 50m,10 Feb 22,3682
7591,Air India,05:55,10:40,Kolkata,Chennai,1 Stop,4h 45m,10 Feb 22,6874
1400,Vistara,11:30,17:30,Bengaluru,Guwahati,1 Stop,6h 00m,10 Feb 22,11874
2706,IndiGo,06:30,07:25,Bhubaneswar,Kolkata,Non Stop,0h 55m,10 Feb 22,2198
9648,Air India,21:30,20:30+1D,Mumbai,Goa In,2 Stops,23h 00m,10 Feb 22,7080
6861,Air India,13:30,07:50+1D,Jaipur,Hyderabad,2 Stops,42h 20m,10 Feb 22,6503
9511,Air India,16:00,12:40+1D,Mumbai,Chennai,1 Stop,20h 40m,10 Feb 22,4415
6651,Air India,13:30,17:05+1D,Jaipur,Bengaluru,2 Stops,27h 35m,10 Feb 22,6969
1096,Air India,06:45,14:15+1D,Bengaluru,Bhubaneswar,3 Stops,31h 30m,10 Feb 22,6017
8350,Air India,20:15,18:30+1D,Lucknow,Bengaluru,2 Stops,22h 15m,10 Feb 22,5779
2075,Air India,13:20,23:25+1D,Bengaluru,Mumbai,2 Stops,34h 05m,10 Feb 22,7003
7508,Vistara,18:45,17:00+1D,Kolkata,Bengaluru,1 Stop,22h 15m,10 Feb 22,11673
6326,Air India,06:30,10:55+1D,Hyderabad,Chennai,3 Stops,28h 25m,10 Feb 22,6293
8342,Go First,13:30,19:40,Lucknow,Bengaluru,1 Stop,6h 10m,10 Feb 22,5362
9909,Air India,21:30,19:20+1D,Mumbai,Hyderabad,1 Stop,21h 50m,10 Feb 22,4171
4020,IndiGo,04:50,06:55,Delhi,Pune,Non Stop,2h 05m,10 Feb 22,2244
523,Air India,21:00,09:00+1D,Ahmedabad,Kolkata,1 Stop,12h 00m,10 Feb 22,4201
1518,Air India,21:00,10:30+1D,Bengaluru,Hyderabad,1 Stop,13h 30m,10 Feb 22,4941
3568,Air India,08:40,13:15+1D,Delhi,Jaipur,2 Stops,28h 35m,10 Feb 22,5810
647,Air India,22:20,11:15+1D,Ahmedabad,Mumbai,1 Stop,12h 55m,10 Feb 22,4511
9554,Vistara,17:35,09:55+1D,Mumbai,Chennai,1 Stop,16h 20m,10 Feb 22,11127
9034,Air India,08:05,18:40+1D,Mumbai,Ahmedabad,2 Stops,34h 35m,10 Feb 22,6991
1819,IndiGo,13:05,22:40,Bengaluru,Kolkata,1 Stop,9h 35m,10 Feb 22,3487
228,IndiGo,16:20,"01:05
+ 1 day",Bangalore,New Delhi,1 Stop,8h 45m,"Sun, 10 Apr","2,907"
5621,IndiGo,15:25,21:10,Guwahati,Bengaluru,1 Stop,5h 45m,10 Feb 22,4855
8894,Vistara,15:25,10:15+1D,Lucknow,Mumbai,2 Stops,18h 50m,10 Feb 22,14475
5052,Air India,08:30,12:10+1D,Chennai,Patna,2 Stops,27h 40m,10 Feb 22,7552
5456,Vistara,14:40,08:05+1D,Goa In,Pune,2 Stops,17h 25m,10 Feb 22,15226
187,Air India,08:20,12:40+1D,Ahmedabad,Chennai,4 Stops,28h 20m,10 Feb 22,7610
7520,Air India,13:00,14:25+1D,Kolkata,Bhubaneswar,2 Stops,25h 25m,10 Feb 22,5946
286,Air India,19:20,00:35+1D,Ahmedabad,Goa In,2 Stops,29h 15m,10 Feb 22,8931
3334,IndiGo,07:15,12:35,Delhi,Goa In,1 Stop,5h 20m,10 Feb 22,8971
6694,Air India,14:00,14:45+1D,Jaipur,Goa In,1 Stop,24h 45m,10 Feb 22,3863
7345,Air India,08:40,18:40+1D,Kolkata,Ahmedabad,2 Stops,34h 00m,10 Feb 22,7369
4079,Air India,08:00,12:05+1D,Delhi,Pune,2 Stops,28h 05m,10 Feb 22,6791
3915,Vistara,19:50,11:25+1D,Delhi,Mumbai,1 Stop,15h 35m,10 Feb 22,12148
8707,Go First,10:45,16:35,Lucknow,Mumbai,1 Stop,5h 50m,10 Feb 22,3734
163,IndiGo,10:30,15:40,Mumbai,Coimbatore,1 Stop,5h 10m,"Thu, 3 Mar","5,103"
5237,Air India,21:00,07:15+1D,Goa In,Hyderabad,2 Stops,34h 15m,10 Feb 22,5914
51,IndiGo,16:05,20:15,New Delhi,Kolkata,1 Stop,4h 10m,"Sun, 27 Feb","2,473"
8344,Go First,06:30,16:10,Lucknow,Bengaluru,1 Stop,9h 40m,10 Feb 22,5362
9456,Vistara,10:25,19:55,Mumbai,Bhubaneswar,1 Stop,9h 30m,10 Feb 22,9877
9218,Air India,18:00,22:15+1D,Mumbai,Bengaluru,2 Stops,28h 15m,10 Feb 22,5378
6595,Air India,13:30,23:55,Jaipur,Bengaluru,1 Stop,10h 25m,10 Feb 22,4991
6211,Air India,16:15,19:50+1D,Hyderabad,Bengaluru,2 Stops,27h 35m,10 Feb 22,6354
6007,Air India,22:15,21:30+1D,Hyderabad,Ahmedabad,2 Stops,23h 15m,10 Feb 22,6159
3184,Vistara,11:40,19:55,Delhi,Chennai,1 Stop,8h 15m,10 Feb 22,11518
5326,Vistara,13:20,09:40+1D,Goa In,Hyderabad,2 Stops,20h 20m,10 Feb 22,13976
574,Air India,19:20,14:30+1D,Ahmedabad,Kolkata,2 Stops,19h 10m,10 Feb 22,7400
9690,Vistara,06:00,14:05,Mumbai,Goa In,1 Stop,8h 05m,10 Feb 22,9039
6738,Air India,14:00,20:30,Jaipur,Goa In,1 Stop,6h 30m,10 Feb 22,6236
4838,Air India,08:30,22:20,Chennai,Kolkata,2 Stops,13h 50m,10 Feb 22,7843
3224,SpiceJet,19:30,22:00,Delhi,Goa In,Non Stop,2h 30m,10 Feb 22,4010
8730,Air India,08:55,20:00,Lucknow,Mumbai,1 Stop,11h 05m,10 Feb 22,4025
5842,Air India,16:30,23:55,Guwahati,Mumbai,2 Stops,7h 25m,10 Feb 22,5677
8356,Air India,08:55,11:10+1D,Lucknow,Bengaluru,2 Stops,26h 15m,10 Feb 22,5779
201,IndiGo,16:20,22:40,Bangalore,Kolkata,1 Stop,6h 20m,"Sat, 26 Feb","3,049"
5950,IndiGo,13:40,23:50,Hyderabad,Ahmedabad,1 Stop,10h 10m,10 Feb 22,3832
291,IndiGo,14:45,16:35,Bangalore,Vijayawada,Non Stop,1h 50m,"Mon, 21 Feb","4,338"
9635,Air India,21:30,00:35+1D,Mumbai,Goa In,1 Stop,27h 05m,10 Feb 22,6085
5382,Air India,23:00,18:10+1D,Goa In,Pune,2 Stops,19h 10m,10 Feb 22,6046
5489,Vistara,13:20,08:05+1D,Goa In,Pune,2 Stops,18h 45m,10 Feb 22,15605
7831,Air India,13:00,23:35+1D,Kolkata,Hyderabad,3 Stops,34h 35m,10 Feb 22,7174
6090,Vistara,08:30,22:35,Hyderabad,Ahmedabad,2 Stops,14h 05m,10 Feb 22,14741
8918,IndiGo,08:50,18:45,Lucknow,Pune,1 Stop,9h 55m,10 Feb 22,3736
9315,Vistara,07:30,22:40,Mumbai,Bengaluru,1 Stop,15h 10m,10 Feb 22,11305
421,SpiceJet,06:05,08:45,Kolkata,New Delhi,Non Stop,2h 40m,"Mon, 7 Feb","3,011"
4172,Air India,06:20,07:50+1D,Chennai,Ahmedabad,3 Stops,25h 30m,10 Feb 22,8639
530,IndiGo,23:55,"08:50
+ 1 day",Pune,Lucknow,1 Stop,8h 55m,"Thu, 10 Mar","2,971"
1666,Go First,08:15,10:45,Bengaluru,Jaipur,Non Stop,2h 30m,10 Feb 22,3292
424,IndiGo,11:25,13:50,Kolkata,New Delhi,Non Stop,2h 25m,"Sun, 27 Feb","3,014"
8777,Air India,17:05,17:50+1D,Lucknow,Mumbai,3 Stops,24h 45m,10 Feb 22,6297
7677,Air India,14:40,20:30+1D,Kolkata,Goa In,2 Stops,29h 50m,10 Feb 22,7836
7172,Air India,20:10,16:15+1D,Kochi,Bengaluru,1 Stop,20h 05m,10 Feb 22,6426
1022,Vistara,08:30,07:50+1D,Bengaluru,Ahmedabad,2 Stops,23h 20m,10 Feb 22,15467
4969,Vistara,21:05,15:00+1D,Chennai,Mumbai,1 Stop,17h 55m,10 Feb 22,11245
5865,Air India,16:30,20:00+1D,Guwahati,Mumbai,2 Stops,27h 30m,10 Feb 22,6566
310,Vistara,08:25,14:05+1D,Ahmedabad,Goa In,2 Stops,29h 40m,10 Feb 22,14309
2589,Vistara,18:25,11:55+1D,Bengaluru,Srinagar,2 Stops,17h 30m,10 Feb 22,14627
982,Vistara,19:55,20:05+1D,Bengaluru,Ahmedabad,2 Stops,24h 10m,10 Feb 22,13124
1101,Air India,09:00,14:25+1D,Bengaluru,Bhubaneswar,3 Stops,29h 25m,10 Feb 22,6645
1170,Air India,21:00,12:40+1D,Bengaluru,Chennai,1 Stop,15h 40m,10 Feb 22,5185
9650,Air India,19:00,20:30+1D,Mumbai,Goa In,2 Stops,25h 30m,10 Feb 22,7080
488,Go First,06:00,13:10,Kolkata,Bagdogra,1 Stop,7h 10m,"Wed, 16 Feb","6,470"
9122,Vistara,10:45,20:05,Mumbai,Ahmedabad,2 Stops,9h 20m,10 Feb 22,13048
6748,Air India,13:30,20:30+1D,Jaipur,Goa In,2 Stops,31h 00m,10 Feb 22,6829
2559,Vistara,21:40,11:55+1D,Bengaluru,Srinagar,2 Stops,14h 15m,10 Feb 22,14627
3997,Air India,14:45,14:10+1D,Delhi,Patna,3 Stops,23h 25m,10 Feb 22,6926
4582,Vistara,09:45,17:30+1D,Chennai,Guwahati,2 Stops,31h 45m,10 Feb 22,15848
1868,Air India,06:45,08:05+1D,Bengaluru,Kolkata,2 Stops,25h 20m,10 Feb 22,5450
3881,Vistara,17:40,10:00+1D,Delhi,Mumbai,1 Stop,16h 20m,10 Feb 22,9838
1760,Go First,07:30,21:05,Bengaluru,Kochi,1 Stop,13h 35m,10 Feb 22,6001
8686,Vistara,15:25,19:55+1D,Lucknow,Kolkata,2 Stops,28h 30m,10 Feb 22,15535
8891,Vistara,15:25,08:15+1D,Lucknow,Mumbai,2 Stops,16h 50m,10 Feb 22,14475
1080,Air India,06:10,20:55,Bengaluru,Bhubaneswar,1 Stop,14h 45m,10 Feb 22,5301
9810,Air India,05:05,12:10+1D,Mumbai,Guwahati,2 Stops,31h 05m,10 Feb 22,7866
351,IndiGo,12:45,13:55,Hyderabad,Goa,Non Stop,1h 10m,"Tue, 22 Feb","2,253"
9519,IndiGo,14:25,23:50,Mumbai,Chennai,1 Stop,9h 25m,10 Feb 22,4492
3994,Air India,08:00,14:10+1D,Delhi,Patna,2 Stops,30h 10m,10 Feb 22,6926
7835,Air India,23:15,21:35+1D,Kolkata,Hyderabad,2 Stops,22h 20m,10 Feb 22,7347
3262,Air India,09:00,22:25,Delhi,Goa In,1 Stop,13h 25m,10 Feb 22,3986
5040,Air India,06:20,14:10+1D,Chennai,Patna,2 Stops,31h 50m,10 Feb 22,6280
4385,IndiGo,09:55,17:25,Chennai,Goa In,1 Stop,7h 30m,10 Feb 22,5040
167,IndiGo,10:45,19:40,Mumbai,Coimbatore,1 Stop,8h 55m,"Mon, 14 Mar","5,103"
3589,IndiGo,22:30,00:35+1D,Delhi,Kolkata,Non Stop,2h 05m,10 Feb 22,5953
7009,IndiGo,14:20,20:50,Jaipur,Mumbai,1 Stop,6h 30m,10 Feb 22,4977
4650,IndiGo,10:25,15:45,Chennai,Hyderabad,1 Stop,5h 20m,10 Feb 22,4200
6464,Air India,12:35,20:30+1D,Hyderabad,Goa In,2 Stops,31h 55m,10 Feb 22,8022
898,Air India,21:00,21:30+1D,Bengaluru,Ahmedabad,1 Stop,24h 30m,10 Feb 22,5007
162,Air India,10:25,13:30,Mumbai,Coimbatore,1 Stop,3h 05m,"Mon, 21 Feb","5,103"
8228,Vistara,18:45,19:35+1D,Kolkata,Pune,1 Stop,24h 50m,10 Feb 22,10423
5303,Vistara,21:55,19:55+1D,Goa In,Hyderabad,2 Stops,22h 00m,10 Feb 22,13976
7514,AirAsia I.,13:55,20:50,Kolkata,Bengaluru,2 Stops,6h 55m,10 Feb 22,14362
5440,Air India,01:15,11:30+1D,Goa In,Pune,3 Stops,34h 15m,10 Feb 22,9452
6789,Air India,13:30,10:30+1D,Jaipur,Hyderabad,1 Stop,21h 00m,10 Feb 22,3919
4878,Go First,05:00,06:50,Chennai,Mumbai,Non Stop,1h 50m,10 Feb 22,1828
7390,Vistara,10:25,20:05,Kolkata,Ahmedabad,2 Stops,9h 40m,10 Feb 22,18247
4185,Vistara,20:30,22:35+1D,Chennai,Ahmedabad,2 Stops,26h 05m,10 Feb 22,16171
9051,Air India,09:50,18:40+1D,Mumbai,Ahmedabad,2 Stops,32h 50m,10 Feb 22,7613
4563,Vistara,21:05,12:05+1D,Chennai,Guwahati,1 Stop,15h 00m,10 Feb 22,11908
3478,Air India,10:55,20:15+1D,Delhi,Hyderabad,2 Stops,33h 20m,10 Feb 22,7108
608,Go First,07:10,08:40,Ahmedabad,Mumbai,Non Stop,1h 30m,10 Feb 22,2467
7713,Vistara,10:25,14:05+1D,Kolkata,Goa In,2 Stops,27h 40m,10 Feb 22,14896
